year,month number,month,temperature
1947,12,december,7.5
1948,1,january,9.4
1948,2,february,9.1
1948,3,march,13.1
1948,4,april,13.4
1948,5,may,16.3
1948,6,june,20.3
1948,7,july,21.0
1948,8,august,23.4
1948,9,september,20.3
1948,10,october,16.6
1948,11,november,14.0
1948,12,december,10.3
1949,1,january,8.6
1949,2,february,10.4
1949,3,march,9.7
1949,4,april,15.1
1949,5,may,14.8
1949,6,june,20.9
1949,7,july,25.6
1949,8,august,24.0
1949,9,september,22.6
1949,10,october,17.7
1949,11,november,11.7
1949,12,december,9.1
1950,1,january,8.4
1950,2,february,10.1
1950,3,march,11.4
1950,4,april,11.5
1950,5,may,16.6
1950,6,june,22.2
1950,7,july,25.6
1950,8,august,22.9
1950,9,september,20.6
1950,10,october,17.1
1950,11,november,13.1
1950,12,december,5.9
1951,1,january,8.1
1951,2,february,8.2
1951,3,march,9.9
1951,4,april,11.5
1951,5,may,14.2
1951,6,june,20.1
1951,7,july,22.6
1951,8,august,21.6
1951,9,september,20.1
1951,10,october,14.4
1951,11,november,11.6
1951,12,december,9.5
1952,1,january,5.7
1952,2,february,7.6
1952,3,march,12.3
1952,4,april,13.5
1952,5,may,17.8
1952,6,june,22.5
1952,7,july,24.3
1952,8,august,23.6
1952,9,september,18.7
1952,10,october,16.6
1952,11,november,10.9
1952,12,december,8.3
1953,1,january,6.7
1953,2,february,7.1
1953,3,march,10.0
1953,4,april,13.3
1953,5,may,18.7
1953,6,june,18.5
1953,7,july,21.9
1953,8,august,23.0
1953,9,september,20.7
1953,10,october,16.1
1953,11,november,12.8
1953,12,december,11.2
1954,1,january,6.1
1954,2,february,6.8
1954,3,march,10.7
1954,4,april,11.4
1954,5,may,15.0
1954,6,june,19.6
1954,7,july,20.6
1954,8,august,21.5
1954,9,september,20.2
1954,10,october,17.4
1954,11,november,13.3
1954,12,december,10.0
1955,1,january,10.6
1955,2,february,8.6
1955,3,march,9.7
1955,4,april,13.8
1955,5,may,16.8
1955,6,june,19.6
1955,7,july,23.4
1955,8,august,22.8
1955,9,september,19.8
1955,10,october,15.3
1955,11,november,11.3
1955,12,december,10.6
1956,1,january,8.9
1956,2,february,2.5
1956,3,march,10.4
1956,4,april,11.2
1956,5,may,17.0
1956,6,june,17.7
1956,7,july,22.4
1956,8,august,22.0
1956,9,september,21.0
1956,10,october,15.0
1956,11,november,9.1
1956,12,december,8.1
1957,1,january,7.3
